"station_name","species_id","individual_userstr","latitude","longitude","lat_lon_datum","active"
"Grand River Ave",949,"hophornbeam-CC1320*01",42.733019,-84.476893,"WGS84",0
"International Center",949,"hophornbeam-CC1648*01",42.727536,-84.47868,"WGS84",0
"Shaw Hall",949,"hophornbeam-CC9198*01",42.727354,-84.477243,"WGS84",1
"International Center",949,"hophornbeam-CC9244*01",42.727774,-84.4794,"WGS84",1
"Music Building",970,"American sycamore-CC0016*01",42.732758,-84.485897,"WGS84",1
"Beaumont Tower",970,"American sycamore-CC0370*01",42.731405,-84.481278,"WGS84",1
"Beaumont Tower",970,"American sycamore-CC0402*01",42.731754,-84.482236,"WGS84",1
"Beal Botanical Garden",970,"American sycamore-CC0597*01",42.731398,-84.485331,"WGS84",1
"Grand River Ave",970,"American sycamore-CC1210*01",42.733611,-84.481389,"WGS84",1
"International Center",970,"American sycamore-CC1666*01",42.727153,-84.480073,"WGS84",1
"Wharton Center",970,"American sycamore-CC2662*01",42.723468,-84.470485,"WGS84",1
"Wharton Center",970,"American sycamore-CC2662*02",42.7235,-84.47039,"WGS84",1
"Hannah Administration Building",970,"American sycamore-CC4349*02",42.728464,-84.48037,"WGS84",1
"Grand River Ave",970,"American sycamore-CC4672*01",42.733889,-84.481111,"WGS84",1
"Breslin to Stadium",970,"American sycamore-CC4983*01",42.729167,-84.488333,"WGS84",1
"Breslin to Stadium",970,"American sycamore-CC4983*02",42.7294144,-84.4881432,"WGS84",1
"Breslin to Stadium",970,"American sycamore-CC4983*03",42.729579,-84.4881405,"WGS84",1
"Shaw Hall",970,"American sycamore-CC5484*01",42.726163,-84.476669,"WGS84",0
"Shaw Hall",970,"American sycamore-CC5484*02",42.726269,-84.476868,"WGS84",0
"Shaw Hall",970,"American sycamore-CC5484*03",42.726281,-84.477203,"WGS84",0
"Shaw Hall",970,"American sycamore-CC5484*04",42.72626,-84.477469,"WGS84",0
"Shaw Hall",970,"American sycamore-CC5484*05",42.726338,-84.477656,"WGS84",0
"International Center",970,"American sycamore-CC5971*01",42.727146,-84.480292,"WGS84",1
"Hannah Administration Building",970,"American sycamore-CC6500*01",42.727784,-84.478341,"WGS84",0
"Shaw Hall",970,"American sycamore-CC6645*01",42.727222,-84.474167,"WGS84",1
"Shaw Hall",970,"American sycamore-CC6694*01",42.726542,-84.477733,"WGS84",0
"Shaw Hall",970,"American sycamore-CC6694*02",42.726715,-84.477724,"WGS84",0
"Shaw Hall",970,"American sycamore-CC6694*03",42.726959,-84.477445,"WGS84",0
"Hannah Administration Building",970,"American sycamore-CC9222*01",42.728231,-84.479709,"WGS84",1
"Beaumont Tower",100,"white oak-20050360*10",42.731941,-84.48298,"WGS84",1
"Beaumont Tower",100,"white oak-CC0234*01",42.732236,-84.482707,"WGS84",1
"Beaumont Tower",100,"white oak-CC0239*01",42.731866,-84.48304,"WGS84",1
"Beaumont Tower",100,"white oak-CC0253*01",42.732285,-84.482305,"WGS84",1
"Beaumont Tower",100,"white oak-CC0314*01",42.732294,-84.481589,"WGS84",1
"Beaumont Tower",100,"white oak-CC0320*01",42.732415,-84.480762,"WGS84",1
"Beaumont Tower",100,"white oak-CC0383*01",42.731964,-84.481308,"WGS84",1
"Hannah Administration Building",100,"white oak-CC1059*01",42.730166,-84.480856,"WGS84",1
"Hannah Administration Building",100,"white oak-CC4326*01",42.730388,-84.480695,"WGS84",1
"Benefactors Plaza",100,"white oak-CC4600*01",42.732367,-84.479931,"WGS84",1
"Breslin to Stadium",100,"white oak-CC4955*01",42.726929,-84.482615,"WGS84",1
"Breslin to Stadium",100,"white oak-CC4955*02",42.726803,-84.482576,"WGS84",1
"Breslin to Stadium",100,"white oak-CC4955*03",42.726712,-84.4825588,"WGS84",1
"NE Dorms",100,"white oak-CC6390*01",42.731793,-84.47462,"WGS84",1
"Shaw Hall",100,"white oak-CC6631*01",42.727408,-84.474069,"WGS84",1
"Shaw Hall",100,"white oak-CC6651*01",42.727213,-84.477294,"WGS84",1
"Breslin to Stadium",101,"bur oak-20030465*01",42.729284,-84.487905,"WGS84",1
"Grand River Ave",101,"bur oak-20030465*06",42.732909,-84.480184,"WGS84",1
"South Neighborhood",101,"bur oak-20050012*02",42.720076,-84.488872,"WGS84",1
"Breslin to Stadium",101,"bur oak-20050339*04",42.729168,-84.488,"WGS84",1
"NW corner",101,"bur oak-20070507*05",42.733971,-84.48657,"WGS84",1
"South Neighborhood",101,"bur oak-20090214*02",42.723243,-84.484926,"WGS84",1
"Breslin to Stadium",101,"bur oak-CC2043*01",42.7313,-84.486944,"WGS84",1
"NW corner",101,"bur oak-CC4912*01",42.735254,-84.486043,"WGS84",1
"Jenison Field House",101,"bur oak-CC4964*01",42.731299,-84.489501,"WGS84",1
"Jenison Field House",101,"bur oak-CC4980*01",42.731356,-84.489002,"WGS84",1
"Wharton Center",101,"bur oak-CC6602*02",42.724593,-84.471941,"WGS84",1
"International Center",101,"bur oak-CC6861*01",42.726051,-84.482043,"WGS84",1
