accession,scientific_name,common_name,latitude,longitude
CC0549*01,Cornus florida,Eastern flowering dogwood,42.731408,-84.486002
CC0959*01,Cornus florida,Eastern flowering dogwood,42.731238,-84.484001
CC1402*01,Cornus florida,Eastern flowering dogwood,42.730264,-84.476059
CC1720*01,Cornus florida,Eastern flowering dogwood,42.726986,-84.480519
CC1720*02,Cornus florida,Eastern flowering dogwood,42.727006,-84.480637
CC1720*03,Cornus florida,Eastern flowering dogwood,42.726998,-84.480817
CC1741*01,Cornus florida,Eastern flowering dogwood,42.728489,-84.481779
CC1849*01,Cornus florida,Eastern flowering dogwood,42.731388,-84.489972
CC2202*01,Cornus florida,Eastern flowering dogwood,42.731274,-84.4932
CC2938*01,Cornus florida,Eastern flowering dogwood,42.726617,-84.46866
CC4918*01,Cornus florida,Eastern flowering dogwood,42.732031,-84.483759
CC6272*01,Cornus florida,Eastern flowering dogwood,42.732452,-84.474831
CC7298*01,Cornus florida,Eastern flowering dogwood,42.728714,-84.48928
CC7298*02,Cornus florida,Eastern flowering dogwood,42.728707,-84.489488
20070154*04,Fagus grandifolia,Beech,42.733331,-84.483031
20130268*01,Fagus grandifolia,Beech,42.733286,-84.482472
20130268*02,Fagus grandifolia,Beech,42.732935,-84.481238
20130268*03,Fagus grandifolia,Beech,42.73334,-84.482293
CC0139*01,Fagus grandifolia,Beech,42.733116,-84.48408
CC0169*01,Fagus grandifolia,Beech,42.732238,-84.483183
CC0182*01,Fagus grandifolia,Beech,42.732702,-84.483568
CC0242*01,Fagus grandifolia,Beech,42.731851,-84.482619
CC0255*01,Fagus grandifolia,Beech,42.732386,-84.482385
CC0302*01,Fagus grandifolia,Beech,42.733006,-84.481394
CC1245*01,Fagus grandifolia,Beech,42.734572,-84.483216
CC1623*01,Fagus grandifolia,Beech,42.727172,-84.476486
CC6260*01,Fagus grandifolia,Beech,42.732185,-84.473807
CC6328*01,Fagus grandifolia,Beech,42.729413,-84.474356
CC0190*01,Fagus sylvatica,European beech,42.732846,-84.483609
20040568*01,Gymnocladus dioicius,Kentucky coffee-tree,42.729504,-84.487432
20040568*05,Gymnocladus dioicius,Kentucky coffee-tree,42.733866,-84.4841
CC0209*01,Gymnocladus dioicius,Kentucky coffee-tree,42.732577,-84.483037
CC0272*01,Gymnocladus dioicius,Kentucky coffee-tree,42.733056,-84.482235
CC0389*01,Gymnocladus dioicius,Kentucky coffee-tree,42.731924,-84.481916
CC1360*01,Gymnocladus dioicius,Kentucky coffee-tree,42.732135,-84.475792
CC2534*01,Gymnocladus dioicius,Kentucky coffee-tree,42.722341,-84.478233
CC3954*01,Gymnocladus dioicius,Kentucky coffee-tree,42.734161,-84.482257
CC4168*01,Gymnocladus dioicius,Kentucky coffee-tree,42.734048,-84.482255
CC6927*01,Gymnocladus dioicius,Kentucky coffee-tree,42.72881,-84.493384
NN0272*01,Gymnocladus dioicius,Kentucky coffee-tree,42.721784,-84.486787
NN0273*01,Gymnocladus dioicius,Kentucky coffee-tree,42.721689,-84.486788
NN0274*01,Gymnocladus dioicius,Kentucky coffee-tree,42.72159,-84.486789
NN0275*01,Gymnocladus dioicius,Kentucky coffee-tree,42.72756,-84.472742
NN0276*01,Gymnocladus dioicius,Kentucky coffee-tree,42.727555,-84.472882
20090169*06,Liriodendron tulipifera,Tulip tree,42.722453,-84.488587
20090398*06,Liriodendron tulipifera,Tulip tree,42.728484,-84.491274
20090398*07,Liriodendron tulipifera,Tulip tree,42.728801,-84.490364
20120053*01,Liriodendron tulipifera,Tulip tree,42.725073,-84.473505
20120053*02,Liriodendron tulipifera,Tulip tree,42.731109,-84.488511
20120053*03,Liriodendron tulipifera,Tulip tree,42.733406,-84.48332
20130271*01,Liriodendron tulipifera,Tulip tree,42.733712,-84.482452
20150640*06,Liriodendron tulipifera,Tulip tree,42.730707,-84.484917
20150640*07,Liriodendron tulipifera,Tulip tree,42.733286,-84.48624
20230040*01,Liriodendron tulipifera,Tulip tree,42.728932,-84.473283
89P067*01,Liriodendron tulipifera,Tulip tree,42.728603,-84.480418
97P033*01,Liriodendron tulipifera,Tulip tree,42.732117,-84.482958
98N048*07,Liriodendron tulipifera,Tulip tree,42.730317,-84.481108
CC0901*01,Liriodendron tulipifera,Tulip tree,42.73014,-84.483799
NN0374*01,Liriodendron tulipifera,Tulip tree,42.730305,-84.491444
20000146*02,Metasequoia glyptostroboides,Dawn-redwood,42.722201,-84.469235
20000146*03,Metasequoia glyptostroboides,Dawn-redwood,42.722111,-84.469278
20000146*04,Metasequoia glyptostroboides,Dawn-redwood,42.722077,-84.46921
20000146*05,Metasequoia glyptostroboides,Dawn-redwood,42.722086,-84.469075
20000146*06,Metasequoia glyptostroboides,Dawn-redwood,42.722157,-84.469127
20060244*04,Metasequoia glyptostroboides,Dawn-redwood,42.728896,-84.475498
20060244*05,Metasequoia glyptostroboides,Dawn-redwood,42.728925,-84.475395
20060244*07,Metasequoia glyptostroboides,Dawn-redwood,42.728894,-84.475306
20060244*12,Metasequoia glyptostroboides,Dawn-redwood,42.728893,-84.475119
20060244*14,Metasequoia glyptostroboides,Dawn-redwood,42.728925,-84.47521
20080508*01,Metasequoia glyptostroboides,Dawn-redwood,42.730832,-84.480566
20080508*03,Metasequoia glyptostroboides,Dawn-redwood,42.73088,-84.480675
CC0074*01,Metasequoia glyptostroboides,Dawn-redwood,42.732652,-84.485019
CC0357*01,Metasequoia glyptostroboides,Dawn-redwood,42.731518,-84.480488
CC1024*01,Metasequoia glyptostroboides,Dawn-redwood,42.7289993,-84.4813684
CC1126*01,Metasequoia glyptostroboides,Dawn-redwood,42.734456,-84.489088
CC3963*01,Metasequoia glyptostroboides,Dawn-redwood,42.7229666,-84.4735222
CC4184*01,Metasequoia glyptostroboides,Dawn-redwood,42.7230456,-84.4735688
CC4185*01,Metasequoia glyptostroboides,Dawn-redwood,42.7229855,-84.4736731
20070191*01,Ostrya virginiana,American hop hornbeam,42.725087,-84.475631
20070191*02,Ostrya virginiana,American hop hornbeam,42.725088,-84.475661
